countryiso3code,year,female_unemployment_rate,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
EUU,2023,6.33698245173923,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2022,6.49084656091739,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2021,7.33787662319405,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2020,7.35818508215304,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2019,7.01398451031573,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2018,7.56182365619411,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2017,8.43341459091594,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2016,9.36685256490371,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2015,10.1773047674126,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2014,11.0262460269669,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2013,11.4793403267035,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2012,11.0616880647261,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2011,10.1703607503217,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2010,10.0339555604425,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2009,9.38515098130031,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2008,7.96618822756457,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2007,8.38349881093817,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2006,9.70315512080202,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2005,10.6678461064464,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2004,10.7817994429709,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2003,10.7068574753411,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2002,10.7261032633986,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2001,10.5725764238558,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
EUU,2000,11.3795422917442,,,1,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",EU,European Union
