countryiso3code,year,youth_female_unemployment_rate,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
CZE,2023,8.88,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2022,7.912,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2021,9.044,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2020,9.139,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2019,5.989,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2018,7.194,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2017,8.745,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2016,11.397,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2015,14.434,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2014,17.101,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2013,19.447,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2012,18.996,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2011,17.962,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2010,18.486,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2009,16.699,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2008,9.928,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2007,10.967,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2006,18.646,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2005,19.079,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2004,19.474,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2003,18.809,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2002,17.222,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2001,17.293,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2000,17.382,,,1,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
