countryiso3code,year,male_unemployment_rate,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
EUU,2023,5.75543989859888,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2022,5.84655490893154,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2021,6.73707960590282,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2020,6.79509424574278,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2019,6.41212523200771,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2018,6.99637438478521,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2017,7.88029694145074,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2016,8.88849420812643,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2015,9.88435630716477,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2014,10.6580230109819,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2013,11.2410090073683,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2012,10.718873910461,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2011,9.72535190596307,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2010,9.73941061937593,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2009,9.06802632616015,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2008,6.65261974422554,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2007,6.78869836107603,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2006,7.86867172708643,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2005,8.80379543243094,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2004,9.12059885862769,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2003,8.91132953427,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2002,8.65694597357891,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2001,8.15346653845715,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
EUU,2000,8.41459218773428,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",EU,European Union
