countryiso3code,year,unemployment_rate_basic_education_female,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
EUU,2023,15.0275268371311,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2022,16.0355703059122,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2021,17.2929126025161,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2020,16.8731295637036,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2019,16.6192561843741,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2018,17.518848510028,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2017,18.6786679137589,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2016,19.9643121584719,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2015,20.7332694021621,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2014,22.2608130067506,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2013,22.9824866459278,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2012,21.7004049401817,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2011,19.1417597563728,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2010,18.2768092856364,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2009,16.819625089201,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2008,13.6047916294216,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2007,14.03333103778,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2006,16.3613286219841,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2005,17.3885684949511,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2004,17.437890673018,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2003,17.1669242253949,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2002,17.1470785041782,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2001,16.9526283460324,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
EUU,2000,17.3030298436877,,,0,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",EU,European Union
