countryiso3code,year,unemployment_rate_advanced_education_female,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
EUU,2023,5.11279709678327,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2022,5.17567173138972,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2021,6.21795176580204,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2020,6.49197345529042,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2019,6.37350390814583,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2018,6.82040588438536,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2017,7.57584338467704,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2016,8.38495349944807,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2015,9.19081464667648,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2014,9.83952879094915,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2013,10.5401406165153,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2012,9.49701829255728,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2011,7.95908837338068,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2010,7.36561519553965,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2009,6.25984531460153,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2008,5.15629551226064,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2007,5.23402733640696,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2006,5.96641054097981,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2005,6.63388930681385,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2004,6.83093690832698,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2003,6.89831449239695,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2002,7.02515886512284,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2001,6.5253768085125,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
EUU,2000,7.39731739563047,,,0,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",EU,European Union
